asset_id,name,industry,close,ma30_hold_ratio_90d,ma30_deviation_pct,total_mv_yi,avg_amount_20d_yi_estimated,max_turnover_rate_20d,context_strength_pass,primary_reason,all_reasons
300843.SZ,胜蓝股份,元器件,151.46,0.7777777777777778,0.3540300855841889,247.95183388,9.929891628550001,8.1156,True,trend_stability_failed,trend_stability_failed
300868.SZ,杰美特,元器件,147.89,0.9444444444444444,0.1384122732066293,189.2282128,5.6230407674450005,8.1635,False,industry_concept_strength_failed,industry_concept_strength_failed
301029.SZ,怡合达,专用机械,31.53,0.5777777777777777,0.06319125977879647,199.96411131,8.338499542465001,9.8389,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
301115.SZ,联检科技,建筑工程,32.65,0.7888888888888889,0.022933767779935943,59.9208472,1.9253280136749997,6.3596,True,total_mv_below_threshold,total_mv_below_threshold
301182.SZ,凯旺科技,元器件,106.0,0.9777777777777777,0.15507834918236485,101.57100200000001,4.822654193890001,10.432,False,industry_concept_strength_failed,industry_concept_strength_failed
301228.SZ,实朴检测,电器仪表,79.18,0.8444444444444444,0.05653160165458315,95.016,3.3296720103100004,5.9787,False,total_mv_below_threshold,total_mv_below_threshold;industry_concept_strength_failed
301281.SZ,科源制药,化学制药,56.37,0.6888888888888889,0.21436470436168742,61.043073,2.3882786135600003,11.1065,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
301555.SZ,惠柏新材,化工原料,45.82,0.7111111111111111,0.0846767511777109,42.276647759999996,2.513073936455,16.5102,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold
600172.SH,黄河旋风,矿物制品,16.86,0.7222222222222222,0.1733320961306477,243.15230669999997,36.136249891,32.0655,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;turnover_quality_failed;industry_concept_strength_failed
600176.SH,中国巨石,玻璃,70.9,0.8333333333333334,0.4041643010866267,2838.2239203000004,112.795254687,6.5792,True,trend_stability_failed,trend_stability_failed
600322.SH,津投城开,区域地产,3.07,0.6111111111111112,0.15543846443357134,33.944990000000004,1.809104088,11.6666,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
600378.SH,昊华科技,化工原料,76.01,0.6555555555555556,0.3497292018112397,980.52877197,63.0426052055,12.7421,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
600857.SH,宁波中百,百货,21.3,0.5333333333333333,0.2980945029049691,47.7801387,2.704856634,13.8537,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold
600906.SH,财达证券,证券,7.79,0.4222222222222222,0.09862730349755555,252.78550779,10.5620238765,12.8514,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
600999.SH,招商证券,证券,21.82,0.5666666666666667,0.1661589439367206,1897.58214776,27.7957981345,3.2619,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
601233.SH,桐昆股份,化纤,22.84,0.5333333333333333,0.05972965448977696,543.3639426,13.8292340925,4.3232,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
603032.SH,德新科技,专用机械,27.6,0.6,0.11245465538089405,64.37076239999999,4.560303770499999,11.9724,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold
603078.SH,江化微,半导体,56.26,0.6666666666666666,0.3151210085867,216.95948872000002,24.2512781815,19.5772,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
603120.SH,肯特催化,化工原料,57.27,0.5333333333333333,0.09634233498391964,51.772079999999995,3.165119579,30.6643,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold;turnover_quality_failed
603135.SH,中重科技,专用机械,14.56,0.5444444444444444,0.1692274747042133,92.34783376,4.606432937,12.6543,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
603257.SH,中国瑞林,建筑工程,84.0,0.6666666666666666,0.23051080847489902,100.8,1.9271971985,14.8602,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;avg_amount_20d_below_threshold
603259.SH,药明康德,化学制药,124.12,0.4888888888888889,0.17294995211934916,3703.43943664,71.122481136,4.5477,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
603270.SH,金帝股份,机械基件,34.3,0.6111111111111112,0.13284819393832636,75.1535981,3.0112839855,24.4869,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;turnover_quality_failed
603330.SH,天洋新材,塑料,8.75,0.4666666666666667,0.10183008730691734,37.858940000000004,4.901176977,33.8698,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;turnover_quality_failed
603380.SH,易德龙,元器件,43.13,0.4888888888888889,0.08658957498803299,69.19828956,2.39535179,9.6238,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
603466.SH,风语筑,文教休闲,11.63,0.5777777777777777,0.06922864760503855,69.17855455,6.6347037225,18.4135,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold
603519.SH,立霸股份,家用电器,15.0,0.6222222222222222,0.08616944243301972,39.94917,1.2167430015000003,7.5038,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
603595.SH,ST东尼,元器件,36.0,0.7333333333333333,0.28246232766912427,83.67922800000001,1.043833454,4.1563,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;st_or_abnormal_listing;industry_concept_strength_failed
603678.SH,火炬电子,元器件,85.48,0.5333333333333333,0.35712698059886283,406.51432968,31.5027882775,16.8588,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
603757.SH,大元泵业,机械基件,71.99,0.7222222222222222,0.192921018763498,134.29540127,9.294125180499996,17.8759,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
603823.SH,百合花,染料涂料,59.88,0.6,0.4693516988663322,249.32097876,10.9430526045,8.2843,False,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed;industry_concept_strength_failed
603976.SH,正川股份,医疗保健,29.0,0.6777777777777778,0.15993813663271284,44.158242,2.4381325885,10.9137,False,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed;total_mv_below_threshold;industry_concept_strength_failed
605020.SH,永和股份,化工原料,44.71,0.7222222222222222,0.2255694745209833,228.38704077,16.796034819,14.3204,True,pre_breakout_ma30_sustained_failed,pre_breakout_ma30_sustained_failed
688002.SH,睿创微纳,通信设备,151.87,0.5555555555555556,0.11757592407715012,713.71579866,15.181352966,3.0272,True,trend_stability_failed,trend_stability_failed;pre_breakout_ma30_sustained_failed
