trade_date,asset_id,name,industry,market,close,close_to_high_60d_pct,ma20_deviation_pct,red_k_ratio_20d,green_k_ratio_20d,long_shadow_ratio_20d,max_drawdown_60d,max_drawdown_120d,amount_ratio_20d,weekly_asof_trade_date,weekly_ma20_slope_4w,weekly_max_drawdown_26w,setup_score_diag
20260703,000551.SZ,创元科技,专用机械,主板,20.5,-0.023809523809523836,0.2134485616195101,0.6,0.4,0.5550348383497807,-0.18545659526493796,-0.213125,2.0970480236299687,20260703,0.025242976083855728,-0.20400500625782225,62.296191
20260703,000725.SZ,京东方A,元器件,主板,8.38,-0.07912087912087895,0.18941168121496,0.6,0.4,0.5020181433779158,-0.14570552147239257,-0.1586956521739129,1.2847105295917896,20260703,0.12052560036248305,-0.13374805598755823,50.547459
20260703,000783.SZ,长江证券,证券,主板,9.98,-0.05313092979127121,0.1506975671624582,0.55,0.44999999999999996,0.442509106678641,-0.18232662192393734,-0.24471635150166848,0.9977699801264245,20260703,0.009235505387378051,-0.2174913693901035,51.808057
20260703,000811.SZ,冰轮环境,工程机械,主板,52.65,-0.06350053361792962,0.2534818941504178,0.5,0.5,0.4667351794834193,-0.23226484498160804,-0.2344186046511627,1.3865556992585502,20260703,0.25208745705640134,-0.20813623462630093,46.182308
20260703,001256.SZ,炜冈科技,轻工机械,主板,29.73,-0.009660226515656234,0.1546527885661022,0.65,0.35,0.5497535300424932,-0.157495256166983,-0.21317682695948503,1.6773399664381214,20260703,0.033556189583954454,-0.18317610062893086,65.632914
20260703,002068.SZ,黑猫股份,化工原料,主板,14.2,-0.07250163291966039,0.17108572842357028,0.6,0.4,0.6045676646658852,-0.11710037174721188,-0.1986301369863015,0.9902450403030739,20260703,0.06349206349206349,-0.19310344827586212,49.401042
20260703,002079.SZ,苏州固锝,电气设备,主板,14.08,-0.06320691949434465,0.053419123148286785,0.75,0.25,0.5671211502400745,-0.1528803545051698,-0.226968174204355,0.9107544370912176,20260703,0.04924449299107936,-0.19247594050743655,53.376788
20260703,002119.SZ,康强电子,半导体,主板,39.04,-0.02885572139303494,0.1746122485821311,0.7,0.30000000000000004,0.5472034305005236,-0.1673136645962734,-0.29526257803892764,1.2343502875824144,20260703,0.10423894671292588,-0.2708966565349543,60.185902
20260703,002158.SZ,汉钟精机,工程机械,主板,35.97,-0.0299352750809061,0.11774028153258143,0.55,0.44999999999999996,0.5411958477535518,-0.24391608391608388,-0.24391608391608388,1.225230458434982,20260703,0.05338456660013802,-0.23160839160839164,52.468798
20260703,002272.SZ,川润股份,机械基件,主板,23.26,-0.06736166800320764,0.060889395667046875,0.65,0.35,0.5827005346051405,-0.26543704891740183,-0.26543704891740183,0.9955192537531435,20260703,0.07058600725068964,-0.23076923076923073,44.66694
